"Bahnhof (Kürzel)
Karte",Linie,Eröffnung,Lage,Ortsteil,Umstieg,Denkmal,Anmerkungen,Sehenswürdigkeiten,Bild
"Osloer Straße (Olu)
52° 33′ 25″ N, 13° 22′ 24″ O",,5. Okt. 1977,Tunnel,Gesundbrunnen,,–,,Jüdisches Krankenhaus,
"Osloer Straße (Olo)
52° 33′ 25″ N, 13° 22′ 24″ O",,30. Apr. 1976,Tunnel,Gesundbrunnen,,–,,Jüdisches Krankenhaus,
"*Osthafen (St)*
52° 30′ 8″ N, 13° 26′ 47″ O",,18. Feb. 1902,Viadukt,Friedrichshain,,–,"1902–1924: *Stralauer Tor*
nach Ende des Zweiten Weltkriegs wegen zu großer Nähe zu Warschauer Straße 
nicht wiederaufgebaut",Oberbaumbrücke,
"Otisstraße (OTI)
52° 34′ 16″ N, 13° 18′ 10″ O",,31. Mai 1958,Damm,Reinickendorf,,Eintrag in der Berliner Landesdenkmalliste,"1958–1974: *Seidelstraße (Flughafen Tegel)*
1974–2003: *Seidelstraße*",,
"Pankow (PA)
52° 34′ 0″ N, 13° 24′ 40″ O",,16. Aug. 2000,Tunnel,Pankow,,–,,,
"Pankstraße (Pk)
52° 33′ 8″ N, 13° 22′ 53″ O",,5. Okt. 1977,Tunnel,Gesundbrunnen,,Eintrag in der Berliner Landesdenkmalliste,Schutzraum für 3.339 Personen,,
"Paracelsus-Bad (PB)
52° 34′ 27″ N, 13° 20′ 57″ O",,27. Apr. 1987,Tunnel,Reinickendorf,,–,,"Alt-Reinickendorf, Weiße Stadt (Schweizer Viertel)",
"Paradestraße (Ps)
52° 28′ 41″ N, 13° 23′ 10″ O",,10. Sep. 1927,Tunnel,Tempelhof,,–,1927–1937: *Flughafen*,,
"Parchimer Allee (Pi)
52° 26′ 41″ N, 13° 26′ 59″ O",,29. Sep. 1963,Tunnel,Britz,,Eintrag in der Berliner Landesdenkmalliste,,Hufeisensiedlung (Siedlung Britz),
"Paulsternstraße (P)
52° 32′ 17″ N, 13° 14′ 52″ O",,1. Okt. 1984,Tunnel,Haselhorst,,Eintrag in der Berliner Landesdenkmalliste,,,
"Platz der Luftbrücke (PL)
52° 29′ 8″ N, 13° 23′ 9″ O",,14. Feb. 1926,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,"1926–1937: *Kreuzberg*
1937–1975: *Flughafen*","Luftbrückendenkmal, Flughafen Tempelhof, Polizeipräsidium, LKA Berlin",
"Podbielskiallee (Po)
52° 27′ 51″ N, 13° 17′ 45″ O",,12. Okt. 1913,Einschnitt,Dahlem,,Eintrag in der Berliner Landesdenkmalliste,,Geheimes Staatsarchiv,
"Potsdamer Platz (Pd)
52° 30′ 34″ N, 13° 22′ 33″ O",,28. Sep. 1907,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1907–1923: *Leipziger Platz*
Ursprünglicher Bahnhof weiter südlich","Potsdamer Platz mit Sony Center, Filmmuseum Berlin, Kollhoff-Tower, 
Bahntower, Quartier Daimler; Bundesrat, Martin-Gropius-Bau, Abgeordnetenhaus 
von Berlin, Leipziger Platz mit Mall of Berlin",
"Prinzenstraße (Pr)
52° 29′ 54″ N, 13° 24′ 21″ O",,18. Feb. 1902,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,"Urbanhafen, Sommerbad Kreuzberg",
"Rathaus Neukölln (Rk)
52° 28′ 55″ N, 13° 25′ 59″ O",,11. Apr. 1926,Tunnel,Neukölln,,–,,Rathaus Neukölln,
"Rathaus Reinickendorf (RR)
52° 35′ 18″ N, 13° 19′ 33″ O",,29. Sep. 1994,Tunnel,Wittenau,,–,,Rathaus Reinickendorf,
"Rathaus Schöneberg (RS)
52° 28′ 59″ N, 13° 20′ 31″ O",,1. Dez. 1910,"Tunnel
Plan",Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1910–1951: *Stadtpark*,"Rathaus Schöneberg, Rudolph-Wilde-Park",
"Rathaus Spandau (RSp)
52° 32′ 7″ N, 13° 11′ 59″ O",,1. Okt. 1984,Tunnel,Spandau,,Eintrag in der Berliner Landesdenkmalliste,Übergang Bahnhof Berlin-Spandau,"Rathaus Spandau, Altstadt Spandau",
"Rathaus Steglitz (Rzu)
52° 27′ 22″ N, 13° 19′ 12″ O",,30. Sep. 1974,Tunnel,Steglitz,,–,,"Rathaus Steglitz, Das Schloss, Steglitzer Kreisel, Matthäuskirche, Schlosspark 
Theater",
"Rehberge (Rb)
52° 33′ 24″ N, 13° 20′ 28″ O",,3. Mai 1956,Tunnel,Wedding,,–,,,
"Reinickendorfer Straße (Ri)
52° 32′ 24″ N, 13° 22′ 13″ O",,8. März 1923,Tunnel,Wedding,,–,,"Bayer HealthCare Pharmaceuticals, Erika-Heß-Eisstadion",
"Residenzstraße (RE)
52° 34′ 16″ N, 13° 21′ 38″ O",,27. Apr. 1987,Tunnel,Reinickendorf,,–,,,
"Richard-Wagner-Platz (Rw)
52° 30′ 57″ N, 13° 18′ 27″ O",,28. Apr. 1978,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,"1906–1935: *Wilhelmplatz*
1906–1970: Kleinprofil","Rathaus Charlottenburg, Luisenkirche, Alt-Lietzow",
"Rohrdamm (Rm)
52° 32′ 14″ N, 13° 15′ 45″ O",,1. Okt. 1980,Tunnel,Siemensstadt,,Eintrag in der Berliner Landesdenkmalliste,,Siedlung Siemensstadt,
"Rosa-Luxemburg-Platz (Lu)
52° 31′ 42″ N, 13° 24′ 37″ O",,27. Juli 1913,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1913–1934: *Schönhauser Tor*
1934–1945: *Horst-Wessel-Platz*
1945–1950: *Schönhauser Tor*
1950–1978: *Luxemburgplatz*","Volksbühne, Herz-Jesu-Kirche",
"Rosenthaler Platz (Ro)
52° 31′ 48″ N, 13° 24′ 4″ O",,18. Apr. 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1990 „Geisterbahnhof“,Volkspark am Weinberg,
"Rotes Rathaus
52° 31′ 7″ N, 13° 24′ 30″ O",,4. Dez. 2020,Tunnel,Mitte,,–,,"Rotes Rathaus, Fernsehturm, Marienkirche",
"Rüdesheimer Platz (Rd)
52° 28′ 24″ N, 13° 18′ 52″ O",,12. Okt. 1913,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,Eintrag in der Berliner Landesdenkmalliste,
"Rudow (R)
52° 24′ 58″ N, 13° 29′ 43″ O",,1. Juli 1972,Tunnel,Rudow,,–,,,
"Ruhleben (Rl)
52° 31′ 32″ N, 13° 14′ 29″ O",,11. Dez. 1929,Damm,Westend,,Eintrag in der Berliner Landesdenkmalliste,,,
"Samariterstraße (Sa)
52° 30′ 53″ N, 13° 27′ 52″ O",,21. Dez. 1930,Tunnel,Friedrichshain,,Eintrag in der Berliner Landesdenkmalliste,,Samariterkirche,
"Scharnweberstraße (Scha)
52° 34′ 1″ N, 13° 18′ 46″ O",,31. Mai 1958,Damm,Reinickendorf,,Eintrag in der Berliner Landesdenkmalliste,,,
"Schillingstraße (Si)
52° 31′ 13″ N, 13° 25′ 18″ O",,21. Dez. 1930,Tunnel,Mitte,,–,,"Café Moskau, Kino International",
"Schlesisches Tor (S)
52° 30′ 3″ N, 13° 26′ 30″ O",,18. Feb. 1902,Viadukt,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,,Oberbaumbrücke,
"Schloßstraße (Slo)
52° 27′ 39″ N, 13° 19′ 28″ O",,30. Sep. 1974,Tunnel,Steglitz,,Eintrag in der Berliner Landesdenkmalliste,nach Osloer Straße,"Bierpinsel, Boulevard Berlin, Rosenkranz-Basilika",
"Schloßstraße (Slu)
52° 27′ 39″ N, 13° 19′ 28″ O",,30. Sep. 1974,Tunnel,Steglitz,,Eintrag in der Berliner Landesdenkmalliste,nach Rathaus Steglitz,"Bierpinsel, Boulevard Berlin, Rosenkranz-Basilika",
"Schönhauser Allee (Sh)
52° 32′ 57″ N, 13° 24′ 58″ O",,27. Juli 1913,Viadukt,Prenzlauer Berg,,Eintrag in der Berliner Landesdenkmalliste,1913–1936: *Nordring*,Gethsemanekirche,
"Schönleinstraße (ST)
52° 29′ 35″ N, 13° 25′ 19″ O",,17. Juli 1927,Tunnel,Kreuzberg,,Eintrag in der Berliner Landesdenkmalliste,1951–1992: *Kottbusser Damm*,,
"Schwartzkopffstraße (Sk)
52° 32′ 7″ N, 13° 22′ 38″ O",,8. März 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1951–1973: *Walter-Ulbricht-Stadion*
1973–1991: *Stadion der Weltjugend*
1961–1990 „Geisterbahnhof“",,
"Seestraße (Se)
52° 33′ 0″ N, 13° 21′ 10″ O",,8. März 1923,Tunnel,Wedding,,–,Hauptwerkstatt,,
"Senefelderplatz (Sz)
52° 31′ 57″ N, 13° 24′ 45″ O",,27. Juli 1913,Tunnel,Prenzlauer Berg,,Eintrag in der Berliner Landesdenkmalliste,,"Kollwitzplatz, Jüdischer Friedhof Schönhauser Allee, Herz-Jesu-Kirche",
"Siemensdamm (Sie)
52° 32′ 12″ N, 13° 16′ 32″ O",,1. Okt. 1980,Tunnel,Siemensstadt,,Eintrag in der Berliner Landesdenkmalliste,Schutzraum für 4.500 Personen,Großsiedlung Siemensstadt,
"Sophie-Charlotte-Platz (So)
52° 30′ 39″ N, 13° 17′ 48″ O",,29. März 1908,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,,,
"Spichernstraße (Sno)
52° 29′ 48″ N, 13° 19′ 52″ O",,2. Juni 1959,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,eröffnet als *Spichernstraße (Bundesallee)*,"Carstenn-Figur, Bundeshaus, Haus der Berliner Festspiele, UdK Berlin",
"Spichernstraße (Snu)
52° 29′ 48″ N, 13° 19′ 52″ O",,28. Aug. 1961,Tunnel,Wilmersdorf,,Eintrag in der Berliner Landesdenkmalliste,,"Carstenn-Figur, Bundeshaus, Haus der Berliner Festspiele, UdK Berlin",
"Spittelmarkt (Sp)
52° 30′ 40″ N, 13° 24′ 13″ O",,1. Okt. 1908,Tunnel,Mitte,,–,,"Auswärtiges Amt, Gertraudenbrücke, Petriplatz",
"Stadtmitte (Mi)
52° 30′ 44″ N, 13° 23′ 22″ O",,1. Okt. 1908,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1908–1923: *Friedrichstraße*
1923–1924: *Leipziger Straße*
1924–1936: *Friedrichstadt (Mohrenstraße)*
1936–1970: *Stadtmitte (Mohrenstraße)*","Gendarmenmarkt, Deutscher Dom, Schauspielhaus, Hochschule für Musik „Hanns 
Eisler“, Museum für Kommunikation",
"Stadtmitte (Mic)
52° 30′ 44″ N, 13° 23′ 22″ O",,30. Jan. 1923,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,"1923–1924: *Leipziger Straße (unten)*
1924–1936: *Friedrichstadt (Leipziger Straße)*
1936–1992: *Stadtmitte (Leipziger Straße)*
1961–1990 „Geisterbahnhof“","Gendarmenmarkt, Deutscher Dom, Schauspielhaus, Hochschule für Musik „Hanns 
Eisler“, Museum für Kommunikation",
"Strausberger Platz (Sr)
52° 31′ 5″ N, 13° 25′ 51″ O",,21. Dez. 1930,Tunnel,Friedrichshain,,Eintrag in der Berliner Landesdenkmalliste (nur Portale),,,
"Südstern (Sü)
52° 29′ 22″ N, 13° 24′ 28″ O",,14. Dez. 1924,Tunnel,Kreuzberg,,–,"1924–1933: *Hasenheide*
1933–1939: *Kaiser-Friedrich-Platz*
1939–1947: *Gardepionierplatz*","Kirche am Südstern, Klinikum Am Urban",
"Tempelhof (Südring) (Ts)
52° 28′ 15″ N, 13° 23′ 7″ O",,22. Dez. 1929,Tunnel,Tempelhof,,Eintrag in der Berliner Landesdenkmalliste,1962–1992: *Tempelhof*,Tempelhofer Park,
"Theodor-Heuss-Platz (Th)
52° 30′ 35″ N, 13° 16′ 23″ O",,29. März 1908,Tunnel,Westend,,Eintrag in der Berliner Landesdenkmalliste,"1908–1933: *Reichskanzlerplatz*
1933–1945: *Adolf-Hitler-Platz*
1945–1963: *Reichskanzlerplatz*","Messegelände, Haus des Rundfunks, rbb-Fernsehzentrum, Theater der Wühlmäuse",
"Tierpark (Tk)
52° 29′ 47″ N, 13° 31′ 24″ O",,25. Juni 1973,Tunnel,Friedrichsfelde,,Eintrag in der Berliner Landesdenkmalliste 2017[1],,"Tierpark Berlin, Schloss Friedrichsfelde, Splanemann-Siedlung",
"Turmstraße (Tm)
52° 31′ 33″ N, 13° 20′ 36″ O",,28. Aug. 1961,Tunnel,Moabit,,–,,"Krankenhaus Moabit, Kleiner Tiergarten, Rathaus Tiergarten, 
Arminius-Markthalle, Heilandskirche, Berliner Kriminalgericht",
"Uhlandstraße (U)
52° 30′ 9″ N, 13° 19′ 32″ O",,12. Okt. 1913,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,"1949–1961: *Uhlandstraße (Kurfürstendamm)*
1957–1961 stillgelegt",Theater am Kurfürstendamm,
"Ullsteinstraße (Ull)
52° 27′ 14″ N, 13° 23′ 4″ O",,28. Feb. 1966,Tunnel,Tempelhof,,–,,"Hafen Tempelhof, Ullsteinhaus",
"Unter den Linden (UDU)
52° 31′ 1″ N, 13° 23′ 20″ O",,4. Dez. 2020,Tunnel,Mitte,,–,,"Komische Oper, Staatsbibliothek, ZDF-Hauptstadtstudio",
"Unter den Linden (UDO)
52° 31′ 1″ N, 13° 23′ 20″ O",,4. Dez. 2020,Tunnel,Mitte,,–,,"Komische Oper, Staatsbibliothek, ZDF-Hauptstadtstudio",
"Viktoria-Luise-Platz (V)
52° 29′ 46″ N, 13° 20′ 34″ O",,1. Dez. 1910,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1910–1920: *Viktoria-Luisen-Platz*,Lette-Verein,
"Vinetastraße (VIN)
52° 33′ 33″ N, 13° 24′ 48″ O",,1. Juli 1930,Tunnel,Pankow,,–,1930–1993: *Pankow (Vinetastraße)*,,
"Voltastraße (Vo)
52° 32′ 32″ N, 13° 23′ 35″ O",,18. Apr. 1930,Tunnel,Gesundbrunnen,,Eintrag in der Berliner Landesdenkmalliste,,Volkspark Humboldthain,
"Walther-Schreiber-Platz (Wsg)
52° 27′ 54″ N, 13° 19′ 54″ O",,29. Jan. 1971,Tunnel,Friedenau,,–,,"Forum Steglitz, Schloss-Straßen-Center",
"Warschauer Straße (WA)
52° 30′ 19″ N, 13° 26′ 57″ O",,17. Aug. 1902,"Viadukt
Plan",Friedrichshain,,Eintrag in der Berliner Landesdenkmalliste,"1902–1995: *Warschauer Brücke*
1961–1995 stillgelegt
Abstellanlage","Mercedes-Benz Arena, Oberbaumbrücke, East Side Gallery",
"Weberwiese (WR)
52° 31′ 0″ N, 13° 26′ 42″ O",,21. Dez. 1930,Tunnel,Friedrichshain,,–,"1930–1950: *Memeler Straße*
1950–1991: *Marchlewskistraße*",Kino Kosmos,
"Wedding (We)
52° 32′ 33″ N, 13° 21′ 58″ O",,8. März 1923,Tunnel,Wedding,,–,1923–1972: *Bahnhof Wedding*,,
"Weinmeisterstraße (W)
52° 31′ 32″ N, 13° 24′ 18″ O",,18. Apr. 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1990 „Geisterbahnhof“,"Alter Jüdischer Friedhof, Hackesche Höfe",
"Westhafen (WF)
52° 32′ 11″ N, 13° 20′ 38″ O",,28. Aug. 1961,Tunnel,Moabit,,–,1961–1992: *Putlitzstraße (Westhafen)*,Kraftwerk Moabit,
"Westphalweg (Wl)
52° 26′ 47″ N, 13° 23′ 8″ O",,28. Feb. 1966,Tunnel,Mariendorf,,–,,,
"Wilmersdorfer Straße (Wd)
52° 30′ 24″ N, 13° 18′ 24″ O",,28. Apr. 1978,Tunnel,Charlottenburg,,–,Übergang Bahnhof Berlin-Charlottenburg,,
"Wittenau (Wilhelmsruher Damm) (WIU)
52° 35′ 45″ N, 13° 20′ 12″ O",,29. Sep. 1994,Tunnel,Wittenau,,–,,Volkspark Wittenau,
"Wittenbergplatz (Wt)
52° 30′ 7″ N, 13° 20′ 35″ O",,11. März 1902,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,1912 neu errichtet,"KaDeWe, Urania, Europa-Center",
"Wuhletal (Wh)
52° 30′ 45″ N, 13° 34′ 30″ O",,1. Juli 1989,Damm,Kaulsdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],Bahnsteiggleiches Umsteigen zur S-Bahn,,
"Wutzkyallee (Wk)
52° 25′ 24″ N, 13° 28′ 29″ O",,2. Jan. 1970,Tunnel,Gropiusstadt,,–,,Wohnhochhaus Ideal,
"Yorckstraße (Y)
52° 29′ 35″ N, 13° 22′ 15″ O",,29. Jan. 1971,Tunnel,Schöneberg,,–,,"Yorckbrücken, St.-Matthäus-Kirchhof",
"Zitadelle (Zi)
52° 32′ 16″ N, 13° 13′ 4″ O",,1. Okt. 1984,Tunnel,Haselhorst,,Eintrag in der Berliner Landesdenkmalliste,,Zitadelle Spandau,
"Zoologischer Garten (Zo)
52° 30′ 26″ N, 13° 19′ 57″ O",,11. März 1902,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,,"Zoologischer Garten, Schillertheater, Kaiser-Wilhelm-Gedächtniskirche, Museum 
für Fotografie, Amerika-Haus, Ludwig-Erhard-Haus",
"Zoologischer Garten (Zu)
52° 30′ 26″ N, 13° 19′ 57″ O",,28. Aug. 1961,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,,"Zoologischer Garten, Schillertheater, Kaiser-Wilhelm-Gedächtniskirche, Museum 
für Fotografie, Amerika-Haus, Ludwig-Erhard-Haus",
"Zwickauer Damm (Zd)
52° 25′ 24″ N, 13° 29′ 2″ O",,2. Jan. 1970,Tunnel,Gropiusstadt,,Eintrag in der Berliner Landesdenkmalliste,,,
